,Country,EdLevel,Experience,Salary
3,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,156000.0
5,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,21,96828.0
6,United States of America,Some college/university study without earning a degree,3,135000.0
7,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,80000.0
8,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,64254.0
11,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,78003.0
12,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,75000.0
13,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Less than 1 year,150000.0
14,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,187407.0
15,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,107090.0
16,Sweden,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,45149.0
17,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,58899.0
19,Germany,Some college/university study without earning a degree,14,75010.0
20,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,60828.0
21,Germany,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",5,85672.0
23,Germany,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",10,69608.0
24,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,37481.0
28,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,38483.0
29,Spain,"Associate degree (A.A., A.S., etc.)",15,74963.0
31,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,26374.0
32,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",7,53545.0
33,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,74963.0
34,Italy,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,42836.0
36,United States of America,Some college/university study without earning a degree,15,130000.0
37,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2,53982.0
38,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,136552.0
39,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,14503.0
40,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,111527.0
42,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16,165000.0
43,United States of America,Some college/university study without earning a degree,2,63000.0
44,other,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",14,98000.0
45,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,101490.0
48,Switzerland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",28,149894.0
56,other,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11,44978.0
60,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,160634.0
61,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9,82459.0
64,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,38552.0
66,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,41197.0
71,Italy,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2,128507.0
76,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,69608.0
88,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14,24345.0
91,other,"Associate degree (A.A., A.S., etc.)",15,53545.0
96,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,86528.0
100,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24,140000.0
101,other,Some college/university study without earning a degree,10,66396.0
107,Brazil,Some college/university study without earning a degree,9,18665.0
108,Norway,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,117798.0
110,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,145000.0
112,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,85672.0
116,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9,85672.0
118,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,111167.0
119,other,"Associate degree (A.A., A.S., etc.)",7,39837.0
126,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25,96381.0
127,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,18175.0
130,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,118000.0
133,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,102806.0
136,other,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",4,23019.0
137,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,150000.0
139,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16,91371.0
142,other,Some college/university study without earning a degree,2,85041.0
147,other,Primary/elementary school,28,107090.0
150,Switzerland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,121238.0
153,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,200000.0
154,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,69608.0
160,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,59970.0
162,other,"Associate degree (A.A., A.S., etc.)",3,53545.0
164,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,52046.0
165,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,41765.0
166,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,71326.0
170,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,62969.0
174,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,55862.0
175,Germany,Primary/elementary school,3,48190.0
177,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,24234.0
178,other,Some college/university study without earning a degree,2,34911.0
180,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,26772.0
186,Italy,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18,65325.0
189,other,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",8,74963.0
195,Sweden,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24,51415.0
197,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25,170000.0
198,Denmark,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30,138033.0
202,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",19,110000.0
203,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",27,155000.0
209,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,36351.0
211,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,55687.0
213,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23,96381.0
214,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20,58899.0
216,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,74963.0
217,Italy,Some college/university study without earning a degree,17,56757.0
222,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,42306.0
223,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,101735.0
224,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,71379.0
228,Switzerland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,99195.0
233,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Less than 1 year,59403.0
237,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",43,170000.0
239,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,120000.0
240,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",21,85672.0
243,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,130000.0
249,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14,73104.0
250,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,30431.0
252,Sweden,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",14,55285.0
256,other,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",8,18289.0
263,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,125380.0
